anchor_text_norm	slug	label	title	node_type	namespace	variant_origin	match_priority
11 -	cf-1988-art-212-inc-11	XI		inciso	cf	inc_arab_hif	97
11 -	cf-1988-art-216-par-1-inc-11	XI		inciso	cf	inc_arab_hif	97
11 -	cf-1988-art-22-inc-11	XI		inciso	cf	inc_arab_hif	97
11 -	cf-1988-art-23-inc-11	XI		inciso	cf	inc_arab_hif	97
11 -	cf-1988-art-235-inc-11	XI		inciso	cf	inc_arab_hif	97
11 -	cf-1988-art-24-inc-11	XI		inciso	cf	inc_arab_hif	97
11 -	cf-1988-art-29-inc-11	XI		inciso	cf	inc_arab_hif	97
11 -	cf-1988-art-37-inc-11	XI		inciso	cf	inc_arab_hif	97
11 -	cf-1988-art-49-inc-11	XI		inciso	cf	inc_arab_hif	97
11 -	cf-1988-art-5-inc-11	XI		inciso	cf	inc_arab_hif	97
11 -	cf-1988-art-52-inc-11	XI		inciso	cf	inc_arab_hif	97
11 -	cf-1988-art-71-inc-11	XI		inciso	cf	inc_arab_hif	97
11 -	cf-1988-art-84-inc-11	XI		inciso	cf	inc_arab_hif	97
12 -	cf-1988-art-155-par-2-inc-12	XII		inciso	cf	inc_arab_hif	97
12 -	cf-1988-art-156-par-1-inc-12	XII		inciso	cf	inc_arab_hif	97
12 -	cf-1988-art-167-inc-12	XII		inciso	cf	inc_arab_hif	97
12 -	cf-1988-art-21-inc-12	XII		inciso	cf	inc_arab_hif	97
12 -	cf-1988-art-212-inc-12	XII		inciso	cf	inc_arab_hif	97
12 -	cf-1988-art-216-par-1-inc-12	XII		inciso	cf	inc_arab_hif	97
12 -	cf-1988-art-22-inc-12	XII		inciso	cf	inc_arab_hif	97
12 -	cf-1988-art-23-inc-12	XII		inciso	cf	inc_arab_hif	97
12 -	cf-1988-art-24-inc-12	XII		inciso	cf	inc_arab_hif	97
12 -	cf-1988-art-29-inc-12	XII		inciso	cf	inc_arab_hif	97
12 -	cf-1988-art-37-inc-12	XII		inciso	cf	inc_arab_hif	97
12 -	cf-1988-art-48-inc-12	XII		inciso	cf	inc_arab_hif	97
12 -	cf-1988-art-49-inc-12	XII		inciso	cf	inc_arab_hif	97
12 -	cf-1988-art-5-inc-12	XII		inciso	cf	inc_arab_hif	97
12 -	cf-1988-art-52-inc-12	XII		inciso	cf	inc_arab_hif	97
12 -	cf-1988-art-7-inc-12	XII		inciso	cf	inc_arab_hif	97
12 -	cf-1988-art-84-inc-12	XII		inciso	cf	inc_arab_hif	97
13 -	cf-1988-art-156-par-1-inc-13	XIII		inciso	cf	inc_arab_hif	97
13 -	cf-1988-art-167-inc-13	XIII		inciso	cf	inc_arab_hif	97
13 -	cf-1988-art-21-inc-13	XIII		inciso	cf	inc_arab_hif	97
13 -	cf-1988-art-212-inc-13	XIII		inciso	cf	inc_arab_hif	97
13 -	cf-1988-art-22-inc-13	XIII		inciso	cf	inc_arab_hif	97
13 -	cf-1988-art-24-inc-13	XIII		inciso	cf	inc_arab_hif	97
13 -	cf-1988-art-29-inc-13	XIII		inciso	cf	inc_arab_hif	97
13 -	cf-1988-art-37-inc-13	XIII		inciso	cf	inc_arab_hif	97
13 -	cf-1988-art-48-inc-13	XIII		inciso	cf	inc_arab_hif	97
13 -	cf-1988-art-49-inc-13	XIII		inciso	cf	inc_arab_hif	97
13 -	cf-1988-art-5-inc-13	XIII		inciso	cf	inc_arab_hif	97
