numero	classe	numero_processo	relator	redator	data_julgamento	orgao	dje	tema_rg	raw
968	RE	576.847	E						[RE 576.847, rel. min. Eros Grau, j. 20-5-2009, P, DJE de 7-8-2009, Tema 77, com mérito julgado.]
969	ARE	1.454.259							[ARE 1.454.259-AgR-ED, rel. min. Roberto Barroso, j. 4-12-2023, P, DJE de 8-1-2024.]
970	MS	36.849							[MS 36.849 AgR, rel. min. Dias Toffoli, j. 28-9-2021, 1ª T, DJE de 7-2-2022.]
971	MS	35.715	M						[MS 35.715, rel. min. Marco Aurelio, red. do ac. min. Alexandre de Moraes, j. 3-8-2021, 1ª T, DJE de 25-11-2021.]
972	ACO	2.716	M						[ACO 2.716, rel. min. Marco Aurelio, j. 11-11-2020, P, DJE de 27-11-2020.]
973	MS	32.505	M						[MS 32.505, rel. min. Marco Aurélio, j. 22-9-2020, P, DJE de 9-10-2020.]
974	ACO	2.892							[ACO 2.892 AgR, voto do red. do ac. min.. Alexandre de Moraes, j. 11-9-2019, P, DJE de 27-11-2019.]
975	MS	34.690							[MS 34.690-AgR, rel. min. Edson Fachin, j. 25-9-2018, 2ª T, DJE de 5-10-2018.]
976	MS	34.972	M						[MS 34.972, rel. min. Marco Aurélio, j. 8-5-2018, 1ª T, DJE de 21-5-2018.]
977	MS	34.180							[MS 34.180 MC, rel. min. Celso de Mello, j. 1º-7-2016, dec.monocrática, DJE de 1º-8-2016.]
978	HC	129.936	D						[HC 129.936, rel. min. Dias Toffoli, j. 31-5-2016, 2ª T, DJE de 15-6-2016.]
979	HC	123.228	C						[HC 123.228, rel. min. Cármen Lúcia, j. 24-6-2015, P, DJE de 28-9-2015.]
980	RE	794.149							[RE 794.149 AgR, rel. min. Dias Toffoli, j. 18-11-2014, 1ª T, DJE de 4-12-2014.]
981	RHC	117.051	L						[RHC 117.051, rel. min. Luiz Fux, j. 6-5-2014, 1ª T, DJE de 23-5-2014.]
